Material,Total Simulations,1D Count,2D Count,3D Count,Average Tmax,Average Tmin,Average Runtime
Alumina,4,2,1,1,1480.5949756495274,296.09794617276015,60.82172778049681
Aluminium 6061,3,1,2,0,377.58543400682635,334.1654804755081,71.53157993562695
Diamond,3,2,1,0,368.88863351990136,321.46289287632106,64.73829311390901
Mild Steel,3,2,1,0,360.65158718069597,322.36153212362234,30.786609526376953
Silicon,2,1,0,1,367.581931875839,328.8311912010731,61.534080532418024
Silicon Carbide,3,1,1,1,344.4874745013258,306.76196181436507,66.05788264371152
Titanium Ti-6Al-4V,2,2,0,0,354.4710960046234,342.76707638232665,73.30244913017455
Copper,2,0,1,1,350.1211675666738,313.42256883596997,84.9639682705068
Graphite,4,0,1,3,398.8830303676949,296.08819268583136,28.25134096903951
Inconel 718,1,0,1,0,384.6956304537495,306.369691951095,54.40857251662503
Stainless Steel 304,1,0,1,0,386.29032888497636,274.0433442800124,35.036435190088305
Tungsten,2,0,1,1,372.1984825092906,335.2250092157569,65.08820619376402
